generation,total_predators,total_energy,avg_speed,avg_size,avg_reproduction_threshold,total_speed,total_size,total_reproduction_threshold,avg_energy
91,5,62.999657,1.5,1,0,7.5,5,0,12.599932
92,5,64.92417,1.5,1,0,7.5,5,0,12.984835
93,5,65.72929,1.5,1,0,7.5,5,0,13.145857
94,5,64.97928,1.5,1,0,7.5,5,0,12.995855
95,5,64.22929,1.5,1,0,7.5,5,0,12.845858
96,5,63.479286,1.5,1,0,7.5,5,0,12.695857
97,5,62.729286,1.5,1,0,7.5,5,0,12.545857
98,5,61.97929,1.5,1,0,7.5,5,0,12.395858
99,5,64.75592,1.5,1,0,7.5,5,0,12.951184
100,5,65.64116,1.5,1,0,7.5,5,0,13.128232
101,5,64.89116,1.5,1,0,7.5,5,0,12.978231
102,5,64.14116,1.5,1,0,7.5,5,0,12.828232
103,5,65.59876,1.5,1,0,7.5,5,0,13.119753
104,6,68.49901,1.4853345,1.0041965,0,8.912007,6.0251794,0,11.416501
105,6,71.79993,1.4853345,1.0041965,0,8.912007,6.0251794,0,11.966655
106,6,74.602165,1.4853345,1.0041965,0,8.912007,6.0251794,0,12.433694
107,6,77.99565,1.4853345,1.0041965,0,8.912007,6.0251794,0,12.999275
108,7,81.265045,1.4617983,1.0108817,0,10.232588,7.076172,0,11.609292
109,7,86.45844,1.4617983,1.0108817,0,10.232588,7.076172,0,12.351206
110,7,89.30818,1.4617983,1.0108817,0,10.232588,7.076172,0,12.758311
111,8,94.05274,1.4322762,1.0192034,0,11.45821,8.153627,0,11.756593
112,9,103.69809,1.4198656,1.0227356,0,12.77879,9.20462,0,11.52201
113,9,109.95702,1.4198656,1.0227356,0,12.77879,9.20462,0,12.217447
114,9,117.91461,1.4198656,1.0227356,0,12.77879,9.20462,0,13.101624
115,12,127.325775,1.3783737,1.0264438,0,16.540485,12.317326,0,10.610481
116,13,142.33824,1.3739282,1.0283322,0,17.861067,13.368319,0,10.949096
117,13,158.11665,1.3739282,1.0283322,0,17.861067,13.368319,0,12.16282
118,15,170.37666,1.336127,1.0335586,0,20.041906,15.503379,0,11.358444
119,19,193.27106,1.321463,1.0262952,0,25.107798,19.499609,0,10.172161
120,21,232.57831,1.3174579,1.0275441,0,27.666616,21.578426,0,11.075157
121,25,275.411,1.2950068,1.0228071,0,32.375168,25.570177,0,11.01644
122,31,339.21225,1.2846556,1.0227289,0,39.82432,31.704596,0,10.94233
123,37,397.1542,1.2845838,1.0187943,0,47.529602,37.69539,0,10.733897
124,45,476.8735,1.2604287,1.019785,0,56.719288,45.890327,0,10.597189
125,53,561.78314,1.2672207,1.0204178,0,67.1627,54.08214,0,10.599682
126,69,672.2108,1.2759072,1.0204707,0,88.03759,70.41248,0,9.742186
127,81,798.4405,1.2518834,1.0191132,0,101.40256,82.54817,0,9.85729
128,92,953.913,1.2602602,1.016841,0,115.94394,93.54938,0,10.36862
129,115,1173.4362,1.2672297,1.0145578,0,145.73141,116.67416,0,10.203793
130,146,1358.9364,1.259577,1.0152236,0,183.89824,148.22264,0,9.307783
131,179,1587.2909,1.2661035,1.0141298,0,226.63252,181.52922,0,8.867547
132,215,1925.8771,1.2662785,1.0121977,0,272.24988,217.62251,0,8.957568
133,258,2226.9602,1.263318,1.0147932,0,325.93604,261.81662,0,8.631629
134,330,2624.5588,1.2723331,1.0121928,0,419.86993,334.02365,0,7.9532084
135,388,2873.3833,1.2732722,1.011066,0,494.0296,392.29358,0,7.4056273
136,438,3236.7017,1.2683378,1.0110846,0,555.532,442.85504,0,7.38973
137,543,3612.0955,1.280022,1.0086341,0,695.05194,547.6883,0,6.6521096
138,611,4001.0676,1.2787993,1.0073574,0,781.3464,615.49536,0,6.5483923
139,704,4355.8403,1.281383,1.0054866,0,902.0936,707.86255,0,6.187273
140,819,4932.626,1.2892199,1.0070205,0,1055.8711,824.74976,0,6.0227423
141,918,5232.2925,1.2888986,1.0054238,0,1183.2089,922.97906,0,5.699665
