generation,total_organisms,total_energy,avg_speed,avg_size,avg_reproduction_threshold,total_speed,total_size,total_reproduction_threshold,avg_energy
181,82200,-inf,0.70057076,1.3297993,4.7494216,57586.918,109309.5,390402.47,-inf
182,81651,-inf,0.6973359,1.3318799,4.749674,56938.176,108749.32,387815.63,-inf
183,80260,-inf,0.6967713,1.3317869,4.7524624,55922.867,106889.22,381432.63,-inf
184,80690,228213.98,0.6916574,1.3356403,4.750956,55809.84,107772.81,383354.66,2.828281
185,80265,-inf,0.68823695,1.337993,4.75087,55241.34,107394.01,381328.6,-inf
186,78712,-inf,0.68764496,1.3377159,4.752923,54125.91,105294.29,374112.1,-inf
187,79153,223286.9,0.68165386,1.3423506,4.7500844,53954.95,106251.08,375983.44,2.8209531
188,77874,-inf,0.6810617,1.3422763,4.751962,53036.996,104528.43,370054.3,-inf
189,78072,219742.64,0.67501307,1.3472596,4.7501183,52699.62,105183.26,370851.22,2.8146152
190,76722,-inf,0.6744155,1.3470701,4.75241,51742.508,103349.914,364614.4,-inf
191,76997,216277.08,0.6678086,1.3516788,4.7501493,51419.258,104075.22,365747.25,2.8089027
192,75717,-inf,0.6671426,1.3517437,4.7518816,50514.04,102349.98,359798.22,-inf
193,75792,212452.22,0.66017944,1.3568757,4.750489,50036.32,102840.32,360049.06,2.8030956
194,75225,-inf,0.65626204,1.3592134,4.7503843,49367.313,102246.82,357347.66,-inf
195,73817,-inf,0.65539896,1.3590881,4.7539773,48379.586,100323.805,350924.34,-inf
196,73969,207336.52,0.64878887,1.3638827,4.75138,47990.266,100885.04,351454.8,2.803019
197,73507,-inf,0.64513063,1.3665524,4.7509794,47421.617,100451.164,349230.25,-inf
198,72052,-inf,0.64400417,1.3667916,4.754152,46401.79,98480.07,342546.16,-inf
199,70808,202660.69,0.6430166,1.3670584,4.7561073,45530.72,96798.67,336770.44,2.8621156
200,72045,201284.63,0.6320498,1.3758128,4.749585,45536.027,99120.43,342183.88,2.7938735
201,71644,-inf,0.6277276,1.378761,4.74844,44972.918,98779.95,340197.22,-inf
202,70238,-inf,0.6269738,1.3787868,4.750784,44037.387,96843.23,333685.56,-inf
203,69044,196722.78,0.6266522,1.3787612,4.7517285,43266.574,95195.19,328078.34,2.849238
204,70098,195819.39,0.6154025,1.3876984,4.7451515,43138.484,97274.88,332625.63,2.793509
205,68989,-inf,0.61512923,1.3873948,4.745935,42437.152,95714.98,327417.3,-inf
206,69368,193176.45,0.6077293,1.392959,4.7403054,42156.97,96626.78,328825.5,2.7848065
207,68129,-inf,0.6074421,1.3926463,4.7414546,41384.42,94879.6,323030.56,-inf
208,66952,191105.89,0.6070691,1.3925897,4.7437015,40644.49,93236.664,317600.3,2.8543715
209,68209,190449.94,0.5951883,1.4012638,4.7347407,40597.2,95578.805,322951.94,2.7921526
210,67176,-inf,0.59471065,1.40128,4.736437,39950.28,94132.39,318174.88,-inf
211,67556,188110.45,0.58724666,1.4075944,4.7319646,39672.035,95091.45,319672.6,2.7845113
212,67144,-inf,0.5832447,1.4104688,4.730555,39161.38,94704.516,317628.38,-inf
213,65735,-inf,0.5831208,1.4106863,4.734601,38331.45,92731.46,311229,-inf
214,66122,184797.94,0.575513,1.4167473,4.7289433,38054.07,93678.164,312687.2,2.7948027
215,64914,-inf,0.5755772,1.4165914,4.730556,37363.02,91956.62,307079.3,-inf
216,65395,183358.7,0.5683874,1.4224873,4.7277784,37169.69,93023.555,309173.06,2.8038642
217,64241,-inf,0.5681843,1.4225503,4.729927,36500.73,91386.055,303855.25,-inf
218,64820,181932.02,0.56118107,1.4289964,4.724809,36375.758,92627.55,306262.13,2.8067265
219,64472,-inf,0.558101,1.4317225,4.7231364,35981.887,92306.016,304510.06,-inf
220,63140,-340282350000000000000000000000000000000,0.558181,1.4318206,4.727191,35243.547,90405.16,298474.84,-5389330500000000000000000000000000
221,63875,180726.05,0.5519377,1.4377334,4.7213283,35255.02,91835.22,301574.84,2.8293705
222,62776,-inf,0.55182266,1.4375702,4.7220807,34641.22,90244.91,296433.34,-inf
223,63546,180129.48,0.54602396,1.4428188,4.714674,34697.64,91685.36,299598.7,2.8346314
224,62390,-inf,0.5464155,1.4423916,4.7166667,34090.863,89990.81,294272.84,-inf
225,63311,179468.23,0.54173934,1.4474899,4.7085752,34298.06,91642.03,298104.6,2.8347087
226,62004,-inf,0.54170007,1.4471433,4.709959,33587.57,89728.67,292036.3,-inf
227,62907,179715.47,0.5366021,1.452026,4.702111,33756.027,91342.6,295795.7,2.8568437
228,61752,-inf,0.53664196,1.4520004,4.7035565,33138.715,89663.93,290454.03,-inf
229,62811,179528.19,0.53197813,1.4564998,4.6961455,33414.08,91484.21,294969.6,2.8582284
230,61603,-inf,0.5309774,1.4572905,4.6978393,32709.8,89773.47,289401,-inf
231,62457,179041.88,0.5256443,1.4628756,4.692243,32830.168,91366.82,293063.44,2.8666422
232,61183,-inf,0.5242165,1.4637066,4.69427,32073.137,89553.96,287209.53,-inf
233,62131,178002.58,0.5184285,1.4691706,4.6887074,32210.482,91281.04,291314.06,2.864956
234,60775,-inf,0.5170095,1.4704517,4.6910458,31421.252,89366.7,285098.3,-inf
235,61425,176536,0.5094583,1.4769017,4.68681,31293.475,90718.69,287887.3,2.874009
236,60086,-inf,0.5080397,1.4780556,4.688951,30526.074,88810.445,281740.3,-inf
237,58457,174914.64,0.50472265,1.480189,4.6931186,29504.572,86527.41,274345.63,2.9921932
238,60540,174215.36,0.4947669,1.4897486,4.679224,29953.188,90189.38,283280.22,2.87769
239,59236,-inf,0.49398738,1.4909413,4.6801686,29261.836,88317.4,277234.47,-inf
240,57413,171711.22,0.49043703,1.4938301,4.684106,28157.46,85765.266,268928.56,2.9908073
241,59217,170504.02,0.4791571,1.5035486,4.6714196,28374.246,89035.64,276627.47,2.8793085
242,57851,-inf,0.47819,1.5048951,4.673311,27663.77,87059.69,270355.72,-inf
243,58135,167884.16,0.4682815,1.5136939,4.666426,27223.545,87998.59,271282.7,2.8878326
244,56704,-340282350000000000000000000000000000000,0.46750018,1.514886,4.666753,26509.13,85900.09,264623.56,-6001029000000000000000000000000000
245,55241,165630.8,0.46556213,1.5171164,4.667525,25718.117,83807.03,257838.75,2.9983308
246,56743,164711.22,0.45105228,1.5288683,4.6558185,25594.059,86752.58,264185.1,2.9027584
247,55466,-inf,0.45056948,1.5295781,4.657345,24991.287,84839.58,258324.3,-inf
248,53873,162263,0.44934615,1.5312995,4.6582775,24207.625,82495.695,250955.38,3.011954
249,55340,161261.67,0.43508172,1.542724,4.6465864,24077.422,85374.34,257142.1,2.9140165
250,54087,-inf,0.43479526,1.5433477,4.64732,23516.771,83475.05,251359.58,-inf
251,52626,159364.14,0.43451267,1.5447154,4.6488013,22866.664,81292.195,244647.83,3.0282397
252,51542,159004.47,0.43448308,1.5452826,4.6509337,22394.127,79646.95,239718.44,3.0849495
253,50532,158689.97,0.4334388,1.5466621,4.651301,21902.53,78155.93,235039.53,3.1403856
254,53987,158022.88,0.40815085,1.566154,4.627853,22034.84,84551.95,249843.9,2.9270542
255,52908,-inf,0.40862742,1.5664283,4.6297035,21619.66,82876.586,244948.36,-inf
256,51474,155791.23,0.40822423,1.5679741,4.632492,21012.934,80709.9,238452.9,3.0266006
257,50347,155377.13,0.40812078,1.5687819,4.6345644,20547.656,78983.46,233336.4,3.086125
258,49278,155231.77,0.4077317,1.5695609,4.6364985,20092.203,77344.82,228477.36,3.1501231
259,48378,155337.31,0.4067251,1.5707008,4.637008,19676.547,75987.36,224329.19,3.2109082
260,52782,154875.69,0.37541705,1.5945243,4.6081753,19815.264,84162.18,243228.7,2.934252
261,51830,-inf,0.37476674,1.5948386,4.6092477,19424.16,82660.484,238897.3,-inf
262,50287,152867.8,0.37521604,1.595772,4.615882,18868.488,80246.586,232118.84,3.039907
263,49244,152612.42,0.37471476,1.5965883,4.6187944,18452.453,78622.39,227447.9,3.099107
264,51679,152274.34,0.352841,1.6131563,4.5986233,18234.469,83366.305,237652.25,2.946542
265,50644,-inf,0.3524217,1.6136836,4.6026554,17848.045,81723.39,233096.89,-inf
266,49416,151276.22,0.35343018,1.6133829,4.6097646,17465.105,79726.93,227796.13,3.06128
267,50751,150928.8,0.33861107,1.6250249,4.5976257,17184.85,82471.64,233334.1,2.973908
268,49631,-inf,0.33837774,1.6256866,4.601889,16794.025,80684.45,228396.36,-inf
269,48408,150130.78,0.3389445,1.6255578,4.609447,16407.625,78690,223134.11,3.101363
270,49841,149882.02,0.32562685,1.6360067,4.6004868,16229.568,81540.21,229292.86,3.007203
271,48778,-inf,0.32556188,1.6359452,4.604458,15880.258,79798.13,224596.25,-inf
272,47444,149114.69,0.3272928,1.6348437,4.613663,15528.08,77563.52,218890.64,3.142962
273,49119,148701.39,0.31186774,1.6463361,4.6015816,15318.632,80866.38,226025.1,3.02737
274,47993,-inf,0.31214544,1.6457722,4.608533,14980.796,78985.55,221177.31,-inf
275,46700,147333.78,0.31254816,1.6457099,4.615349,14595.999,76854.65,215536.8,3.154899
276,45502,147388.08,0.3136086,1.6450295,4.6212792,14269.817,74852.13,210277.45,3.239156
277,48152,146964.61,0.2921696,1.6608028,4.6029816,14068.551,79970.98,221642.77,3.0520978
278,47050,-inf,0.2922633,1.6603342,4.6084743,13750.988,78118.73,216828.7,-inf
279,45573,145272.25,0.29389942,1.6588953,4.6204653,13393.878,75600.836,210568.47,3.1876824
280,44399,145319.89,0.2944106,1.6586598,4.6280985,13071.536,73642.836,205482.95,3.273044
281,47012,144895.97,0.27420726,1.6729096,4.6087894,12891.032,78646.83,216668.4,3.082106
282,45923,-inf,0.27446434,1.6726,4.6124563,12604.226,76810.81,211817.83,-inf
283,44471,142769.34,0.2766206,1.6715523,4.6242733,12301.595,74335.6,205646.06,3.210392
284,43213,142632.45,0.27846923,1.6702589,4.633189,12033.491,72176.9,200214,3.300684
285,45810,142373.45,0.25773358,1.6844293,4.6093516,11806.775,77163.7,211154.39,3.107912
286,44788,-inf,0.2588624,1.6836799,4.614414,11593.93,75408.66,206670.38,-inf
287,43357,140628.81,0.26197234,1.6818377,4.6270943,11358.335,72919.44,200616.92,3.2435088
288,42216,140614.75,0.26342148,1.6809686,4.6337633,11120.602,70963.77,195618.95,3.33084
289,45047,140234.48,0.24523702,1.6932379,4.6144824,11047.192,76275.29,207868.58,3.1130705
290,44017,-inf,0.24590951,1.6930765,4.618317,10824.199,74524.15,203284.47,-inf
291,42514,138460.22,0.24885707,1.6913737,4.630353,10579.909,71907.06,196854.83,3.2568147
292,44060,137775.22,0.23856506,1.6988336,4.619475,10511.177,74850.61,203534.06,3.1269908
293,42851,-inf,0.23986493,1.6975076,4.626872,10278.452,72739.9,198266.1,-inf
294,41428,136432.83,0.24361804,1.6948991,4.640371,10092.608,70216.28,192241.28,3.2932515
295,40251,136634.56,0.24605006,1.6933719,4.6509814,9903.761,68159.914,187206.66,3.3945632
296,43007,136362,0.23248789,1.7036456,4.6299505,9998.606,73268.69,199120.28,3.1706932
297,42018,-inf,0.23400946,1.7030998,4.6358232,9832.609,71560.85,194788.02,-inf
298,40520,134599.56,0.23543763,1.7021959,4.6498494,9539.933,68972.98,188411.89,3.3218055
299,39360,134821.58,0.23637408,1.7016395,4.6580753,9303.684,66976.53,183341.84,3.425345
300,42159,134113.27,0.22424445,1.7093915,4.639568,9453.922,72066.234,195599.53,3.1811302
301,41039,-inf,0.22498494,1.7085714,4.647123,9233.157,70118.06,190713.27,-inf
302,39437,131942.17,0.22551218,1.7081417,4.6635995,8893.523,67363.984,183918.38,3.3456442
303,38247,131684.89,0.22712079,1.7074523,4.6724324,8686.688,65304.93,178706.53,3.4430122
304,37184,131723.53,0.2281676,1.7068561,4.6804237,8484.184,63467.74,174036.88,3.5424788
305,36288,131723.25,0.22875035,1.7066509,4.686547,8300.893,61930.945,170065.4,3.6299396
306,40947,131192.92,0.20608345,1.7210974,4.6529255,8438.499,70473.77,190523.34,3.203969
307,40012,-inf,0.20722416,1.7199014,4.661139,8291.453,68816.695,186501.5,-inf
308,38351,128139.04,0.20797198,1.7186997,4.6822424,7975.933,65913.85,179568.67,3.3412178
309,37056,127776.66,0.20957492,1.7175996,4.6971183,7766.0083,63647.37,174056.42,3.4482043
310,35941,127703.9,0.21153048,1.7167865,4.705435,7602.6167,61703.023,169118.03,3.5531538
311,35031,127837.91,0.21260184,1.7162547,4.711999,7447.6553,60122.117,165066.03,3.6492794
312,39264,127563.73,0.1921346,1.73023,4.6836066,7543.973,67935.75,183897.13,3.2488725
313,38386,-inf,0.19374448,1.7285949,4.690743,7437.0757,66353.84,180058.86,-inf
314,36772,124627.78,0.19719635,1.7261485,4.7111173,7251.304,63473.934,173237.2,3.3892033
315,35608,124118.516,0.20001356,1.723697,4.7238727,7122.083,61377.402,168207.66,3.4856918
316,37780,123610.45,0.18806827,1.7309124,4.714606,7105.219,65393.87,178117.81,3.271849
317,36740,-inf,0.18971147,1.7291626,4.7248545,6969.9995,63529.434,173591.16,-inf
318,35400,121331.33,0.19374628,1.7264261,4.738472,6858.6187,61115.484,167741.9,3.4274387
319,34217,120767.305,0.19651768,1.7242624,4.753483,6724.245,58999.086,162649.92,3.5294533
320,36368,120213.56,0.1839522,1.7316166,4.7417974,6689.9736,62975.434,172449.69,3.3054764
321,35354,-inf,0.18633954,1.7294024,4.7522087,6587.848,61141.293,168009.6,-inf
322,34003,117940.11,0.18956289,1.726691,4.768468,6445.707,58712.676,162142.22,3.4685206
323,32903,117666.305,0.19384393,1.7234032,4.780888,6378.047,56705.137,157305.56,3.5761573
324,31977,117668.375,0.19466,1.7226635,4.7911396,6224.6426,55085.613,153206.27,3.6797817
325,35214,116872.94,0.17822078,1.7326957,4.7725015,6275.8667,61015.145,168058.86,3.318934
326,34245,-inf,0.17970277,1.7313731,4.7781873,6153.9214,59290.87,163629.02,-inf
327,32870,114508.766,0.18355526,1.7271597,4.7961025,6033.4614,56771.742,157647.89,3.4836862
328,31810,114090.65,0.1868042,1.7249954,4.8102016,5942.2417,54872.1,153012.52,3.5866284
329,33901,113893.414,0.1772714,1.7310392,4.800358,6009.6777,58683.957,162736.94,3.3595886
330,32998,-inf,0.1791443,1.7285331,4.8101697,5911.4033,57038.137,158725.98,-inf
331,31762,111897.73,0.1834425,1.72402,4.827491,5826.501,54758.324,153330.77,3.5230062
332,33032,111012.5,0.18148348,1.7249094,4.8198347,5994.762,56977.207,159208.78,3.3607562
333,31910,-inf,0.18468803,1.7210296,4.834336,5893.395,54918.055,154263.66,-inf
334,30603,108788.54,0.1906297,1.7170627,4.850363,5833.841,52547.27,148435.66,3.5548325
335,31793,108335.516,0.19280694,1.7163777,4.838607,6129.911,54568.797,153833.83,3.4075272
336,30806,-inf,0.19527075,1.7145375,4.846517,6015.5107,52818.043,149301.81,-inf
337,29624,106123.53,0.19961141,1.7109237,4.860602,5913.2886,50684.402,143990.47,3.5823498
338,28550,105663.37,0.2039143,1.7079957,4.870144,5821.7534,48763.277,139042.61,3.7009935
339,30853,105132.664,0.21216285,1.7050647,4.840841,6545.8604,52606.36,149354.47,3.4075346
340,29932,-inf,0.21486375,1.7023671,4.847708,6431.302,50955.25,145101.61,-inf
341,28668,103174.805,0.21930666,1.6986563,4.8632493,6287.0835,48697.08,139419.63,3.5989537
342,27658,103173.47,0.22280428,1.6961664,4.8755193,6162.321,46912.57,134847.11,3.73033
343,30267,103038.57,0.24588872,1.6870948,4.833233,7442.314,51063.297,146287.45,3.4043205
344,29434,-inf,0.24951169,1.6840874,4.8392963,7344.127,49569.43,142439.84,-inf
345,27750,100636.29,0.23589051,1.6898415,4.8743234,6545.9614,46893.1,135262.47,3.626533
346,26826,100529.125,0.23595725,1.6893317,4.8862495,6329.789,45318.01,131078.53,3.747451
347,29418,100107.16,0.2661819,1.6776419,4.8402433,7830.5386,49352.867,142390.28,3.402922
348,28517,-inf,0.26746318,1.676382,4.8482666,7627.2476,47805.383,138258.02,-inf
349,26833,96767.98,0.24136382,1.6876595,4.8936877,6476.5156,45284.97,131312.33,3.606305
350,28200,96286.02,0.26376602,1.6787808,4.8632097,7438.2017,47341.617,137142.52,3.414398
351,27260,-inf,0.26425096,1.6767713,4.8737965,7203.481,45708.785,132859.69,-inf
